LoanDate,ReturnDate,MemberID,BookID,Genre
21/11/2021,21/11/2021,cotk,2,Fantasy
21/11/2021,21/11/2021,copi,5,Sci-Fi
11/11/2021,21/11/2021,coeh,7,Non-Fiction
21/11/2021,21/11/2021,coeh,10,Non-Fiction
21/11/2021,21/11/2021,copi,5,Sci-Fi
21/11/2021,21/11/2021,coeh,10,Non-Fiction
21/11/2021,21/11/2021,coeh,2,Fantasy
21/11/2021,21/11/2021,coeh,2,Fantasy
21/11/2021,21/11/2021,coeh,2,Fantasy
21/11/2021,26/11/2021,coeh,5,Sci-Fi
21/11/2021,21/11/2021,coeh,10,Non-Fiction
21/11/2021,21/11/2021,coeh,10,Non-Fiction
21/11/2021,21/11/2021,coeh,10,Non-Fiction
21/11/2021,26/11/2021,coeh,10,Non-Fiction
26/11/2021,-1,coeh,10,Non-Fiction
26/11/2021,-1,coeh,5,Sci-Fi
26/11/2021,26/11/2021,coeh,10,Non-Fiction
26/11/2021,26/11/2021,coeh,5,Sci-Fi
26/11/2021,26/11/2021,coeh,10,Non-Fiction
26/11/2021,26/11/2021,coeh,5,Sci-Fi
26/11/2021,26/11/2021,coeh,3,Non-Fiction
26/11/2021,28/11/2021,coeh,7,Fantasy
26/11/2021,26/11/2021,coeh,10,Non-Fiction
26/11/2021,26/11/2021,coeh,5,Sci-Fi
27/11/2021,27/11/2021,coeh,10,Non-Fiction
28/11/2021,28/11/2021,coeh,10,Non-Fiction
28/11/2021,29/11/2021,coeh,5,Sci-Fi
28/11/2021,28/11/2021,coeh,10,Non-Fiction
28/11/2021,28/11/2021,coeh,10,Non-Fiction
28/11/2021,28/11/2021,coeh,10,Non-Fiction
28/11/2021,28/11/2021,coeh,3,Non-Fiction
28/11/2021,28/11/2021,coeh,3,Non-Fiction
28/11/2021,28/11/2021,coeh,3,Non-Fiction
28/11/2021,28/11/2021,coeh,10,Non-Fiction
28/11/2021,28/11/2021,coeh,7,Fantasy
28/11/2021,28/11/2021,coeh,10,Non-Fiction
28/11/2021,28/11/2021,coeh,7,Fantasy
29/11/2021,29/11/2021,coeh,10,Non-Fiction
29/11/2021,29/11/2021,coeh,3,Non-Fiction
29/11/2021,29/11/2021,coeh,10,Non-Fiction
29/11/2021,29/11/2021,coeh,3,Non-Fiction
29/11/2021,-1,coeh,6,Sci-Fi
29/11/2021,29/11/2021,coeh,5,Sci-Fi
30/11/2021,30/11/2021,abcd,5,Sci-Fi
30/11/2021,30/11/2021,abcd,5,Sci-Fi
30/11/2021,30/11/2021,abcd,5,Sci-Fi
06/12/2021,06/12/2021,abcd,5,Sci-Fi
06/12/2021,06/12/2021,abcd,5,Sci-Fi
06/12/2021,06/12/2021,abcd,5,Sci-Fi
06/12/2021,06/12/2021,abcd,5,Sci-Fi
12/12/2021,12/12/2021,abcd,5,Sci-Fi
12/12/2021,12/12/2021,abcd,5,Sci-Fi
12/12/2021,12/12/2021,abcd,5,Sci-Fi
12/12/2021,12/12/2021,abcd,5,Sci-Fi
12/12/2021,12/12/2021,abcd,5,Sci-Fi
12/12/2021,12/12/2021,abcd,5,Sci-Fi
